First Name,Last Name,Hash ID,Counselor Name,High School,School CEEB Code,Rank,NPC,Predicted_Probabilty
Oshea,Williams,E24qd,Kiara  Sims,North Little Rock High School,41860,3836,No,0.612535059
Henry,Chilcoat,bkYv2,Kiara  Sims,Central High School,41422,3836,No,0.612535059
Drelun,Holloway,vydDG,Kiara  Sims,Sylvan Hills High School,41872,3836,No,0.612535059
Bryan,Gonzalez,g5AZX,Kiara  Sims,Sylvan Hills High School,41872,3836,No,0.612535059
Charles,Brewer,5y3qp,Kiara  Sims,Lonoke High School,41470,3836,No,0.612535059
James,Long,pG2AE,Kiara  Sims,Lonoke High School,41470,3836,No,0.612535059
Tacari,Jenkins,GqK5Z,Kiara  Sims,North Little Rock High School,41860,3836,No,0.612535059
Zachary,Robinson,4zgPA,Kiara  Sims,North Little Rock High School,41860,3836,No,0.612535059
Aidan,Filhiol,QKbQn,Kiara  Sims,Sylvan Hills High School,41872,3836,No,0.612535059
Keijuan,Wyatt,gK37Q,Kiara  Sims,North Little Rock High School,41860,3836,No,0.612535059
Adolfo,Guardado,xR2GA,Kiara  Sims,North Little Rock High School,41860,3836,No,0.612535059
Keshawn,Robinson,4zb93,Kiara  Sims,North Little Rock High School,41860,3836,No,0.612535059
Malachi,Scott,npxyd,Kiara  Sims,North Little Rock High School,41860,3836,No,0.612535059
Kamryn,Scott,kaPyV,Lainie Cockrum,Conway High School,40490,3849,No,0.61230731
Mezmerize,Tom,GAdzk,Kiara  Sims,Bryant High School,40310,3849,No,0.61230731
Aaliyah,Baker,n74nP,Lainie Cockrum,Conway High School,40490,3849,No,0.61230731
Katelynn,Pitcock,Y7KZb,Kiara  Sims,Bryant High School,40310,3849,No,0.61230731
Braden,Howe,DkAnK,Kiara  Sims,Benton Senior High School,40170,3853,No,0.612062633
Samuel,Herring,vy4Kv,Kiara  Sims,Bryant High School,40310,3853,No,0.612062633
Braden,Lee,N4Ky4,Lainie Cockrum,Cabot High School,40320,3853,No,0.612062633
Eli,Mitchell,V7Z32,Lainie Cockrum,Cabot High School,40320,3853,No,0.612062633
Braden,Edmonson,a2pjj,Kiara  Sims,Bryant High School,40310,3853,No,0.612062633
Thomas,Hanna,aVY4d,Kiara  Sims,Bryant High School,40310,3853,No,0.612062633
Richa,Patel,RQ2vz,Kiara  Sims,Lakeside High School,41160,3859,No,0.611991048
Olivia,Turner,kE5gv,Tommy Newton,Texas High School,446970,3859,No,0.611991048
Aiden,Trantina,QKMAV,Kiara  Sims,Lakeside High School,41160,3859,No,0.611991048
Madison,Duke,GqDgK,Kiara  Sims,Lake Hamilton High School,41155,3859,No,0.611991048
Arrionna,Stout,qpQkR,Tommy Newton,Dierks High School,40640,3859,No,0.611991048
Lorelai,Orr,9GaYq,Tommy Newton,El Dorado High School,40690,3859,No,0.611991048
Amileyun,Robinson,z7PDd,Kiara  Sims,Lakeside High School,41160,3859,No,0.611991048
Chloe,Carson,7zRAa,Kiara  Sims,Lake Hamilton High School,41155,3859,No,0.611991048
Emma,Mitchell,qpMVx,Tommy Newton,Rison High School,42150,3859,No,0.611991048
Savana,Green,5zYa2,Kiara  Sims,Lake Hamilton High School,41155,3859,No,0.611991048
Kayla,Araujo,yYnMY,,Thomas Mckean HS,80203,3859,No,0.611991048
Jackie,Kelner,D5YnR,Tommy Newton,Bradley HS,40268,3859,No,0.611991048
Reghan,Martin,EdRQz,Tommy Newton,Hamburg High School,40995,3859,No,0.611991048
Adrianna,Arnold,kE799,Tommy Newton,El Dorado High School,40690,3859,No,0.611991048
Delia,Gonzalez,9GzVV,Tommy Newton,El Dorado High School,40690,3859,No,0.611991048
Arabella,Matthews,Ed3Mx,Tommy Newton,Rison High School,42150,3859,No,0.611991048
Elizabeth,Rutledge,VAnEG,Tommy Newton,Ashdown High School,40060,3859,No,0.611991048
Rachel,Stramanino,E9apb,,Bartram Trail HS,100809,3859,No,0.611991048
Adeline,Brasfield,KRpqz,Kiara  Sims,Lake Hamilton High School,41155,3859,No,0.611991048
Emily,Thornell,KRKyR,Tommy Newton,Fouke High School,40840,3859,No,0.611991048
Jenna,Daniels,93Gkj,Kiara  Sims,Lakeside High School,41160,3859,No,0.611991048
Jose,Villalpando,9GNvP,Kiara  Sims,Parkview Arts-Sci Magnet High School,41443,3880,No,0.611357749
Jade,Sparks,PdYXg,Kiara  Sims,Benton Senior High School,40170,3881,No,0.610367596
Hillary,Perdomo,GqDKD,Kiara  Sims,Bauxite High School,40125,3881,No,0.610367596
Marcy,Flowers,V79xk,Kiara  Sims,Bryant High School,40310,3881,No,0.610367596
Lillian,James,4zPDE,Lainie Cockrum,Vilonia High School,42530,3881,No,0.610367596
Madison,Mcintire,34qYK,Kiara  Sims,Benton Senior High School,40170,3881,No,0.610367596
Peyton,Tokarz,RGMQN,Lainie Cockrum,Cabot High School,40320,3881,No,0.610367596
Emily,Hannon,EA4YX,Kiara  Sims,Bentonville High School,40175,3887,No,0.610250652
Ella,Campbell,VqPNq,Charles Fancyboy,Bentonville High School,40175,3887,No,0.610250652
Paige,Norris,2V2yG,Charles Fancyboy,Bentonville High School,40175,3887,No,0.610250652
Lauren,Hamilton,d4nQY,Kiara  Sims,Haas Hall Academy-Fayetteville,42762,3887,No,0.610250652
Alea,Vaccarella,kEXvR,Lainie Cockrum,Mountain Home High School Career Academy,41740,3887,No,0.610250652
Mabel,Wise,gKnVN,Kiara  Sims,Rogers Heritage High School,42168,3887,No,0.610250652
Claudia,Orlowski,AQkGE,Kiara  Sims,Bentonville High School,40175,3887,No,0.610250652
Emily,Thomas,EdREX,Kiara  Sims,Fayetteville High School,40770,3887,No,0.610250652
Ella,Weilert,pG4Xv,Kiara  Sims,Fayetteville High School,40770,3887,No,0.610250652
Macy,Cloud,QKPaD,Kiara  Sims,Russellville High School,42195,3887,No,0.610250652
Elly,Harriman,yYVgK,Kiara  Sims,Huntsville High School,41210,3887,No,0.610250652
Steffany,Sanchez,NX9pn,Kiara  Sims,Rogers High School,42165,3887,No,0.610250652
Samantha,Couey,qdbMY,Kiara  Sims,Fayetteville High School,40770,3887,No,0.610250652
Sydnie,Johnson,qdRA7,Kiara  Sims,Springdale Har-Ber High School,42147,3887,No,0.610250652
Macey,Clayton,34YXX,Kiara  Sims,Russellville High School,42195,3887,No,0.610250652
Audrie,Holland,zbq2Z,Kiara  Sims,Perryville HS,42000,3902,No,0.610084593
Gabrael,Stagner,a24qA,Lainie Cockrum,Conway High School,40490,3902,No,0.610084593
Kaitlyn,Vann,7V3Zv,Lainie Cockrum,Cabot High School,40320,3904,No,0.609818995
Dylan,Rose,qv7X9,Tommy Newton,Ashdown High School,40060,3905,No,0.609175265
Caleb,Campbell,D5AQN,Tommy Newton,Texas High School,446970,3905,No,0.609175265
Kelsey,"Moore, Jr.",N4PxY,Tommy Newton,Dequeen High School,40605,3905,No,0.609175265
Gray,Manning,aVb2E,,Arkadelphia High School,40035,3905,No,0.609175265
Sandra,Francisco,QKxdb,Tommy Newton,East Chambers HS,447605,3909,No,0.609046996
Daleigh,Dense,j3Gnv,Tommy Newton,Hamshire Fannett HS,443100,3909,No,0.609046996
Maritza,Francisco,2VVDk,Tommy Newton,Hamshire Fannett HS,443100,3909,No,0.609046996
Abigail,Garrett,NkZxG,Kiara  Sims,Bentonville High School,40175,3912,No,0.608997881
Allison,Manning,AgkVA,Kiara  Sims,Rogers High School,42165,3912,No,0.608997881
Brenda,Willis,NkEZp,Kiara  Sims,Haas Hall Academy-Fayetteville,42762,3912,No,0.608997881
Nicole,McKellar,K2G73,Kiara  Sims,Rogers High School,42165,3912,No,0.608997881
Ashi,Patel,xRAjX,,Bentonville High School,40175,3912,No,0.608997881
Ella,Quinlan,Z7vyy,Kiara  Sims,Springdale Har-Ber High School,42147,3912,No,0.608997881
Allsion,Young,pG9nd,Kiara  Sims,Fayetteville High School,40770,3912,No,0.608997881
Audrey,Shellhammer,7z2KE,Kiara  Sims,Springdale Har-Ber High School,42147,3912,No,0.608997881
Linden,Thompson,9GAbd,Kiara  Sims,Haas Hall Academy-Fayetteville,42762,3912,No,0.608997881
Izzy,Jenkins,Ednn9,Kiara  Sims,Bentonville High School,40175,3912,No,0.608997881
Lindsey,Sale,7zaGK,Kiara  Sims,Haas Hall Academy-Fayetteville,42762,3912,No,0.608997881
Marley,Johnson,NX9Qn,Kiara  Sims,Russellville High School,42195,3912,No,0.608997881
Anne-Claire,Evans,qdb2Y,Kiara  Sims,Springdale Har-Ber High School,42147,3912,No,0.608997881
Ella,Hudson,DxDzn,Kiara  Sims,Springdale Har-Ber High School,42147,3912,No,0.608997881
Emma,Woo-Ming,kkd7G,Kiara  Sims,Haas Hall Academy-Fayetteville,42762,3912,No,0.608997881
Reagan,Clark,E9Dkp,,Bentonville High School,40175,3912,No,0.608997881
Thaden,Sloan,E92pK,Kiara  Sims,Fayetteville High School,40770,3912,No,0.608997881
Leah,Popper,bNKQq,,Alexander W Dreyfoos Jr School,101822,3929,No,0.60867399
Tori,Folsom,kRRA2,Kiara  Sims,,,3930,No,0.608649492
Quinlan,Rutledge,4GAxX,Kiara  Sims,,,3930,No,0.608649492
Alivia,Blissett,pEa2N,Kiara  Sims,,,3930,No,0.608649492
Shelby,Dawson,RQdNQ,Kiara  Sims,,,3930,No,0.608649492
Destiny,Ahrens,RQnkj,Kiara  Sims,,,3930,No,0.608649492
Reagan,Basile,QKy4E,,Hill School,394080,3935,No,0.608211637
Tanmy,Trest,GqRDq,Lainie Cockrum,Fremont-Ross HS,362220,3935,No,0.608211637
Moises,Melo,AQbDj,Kiara  Sims,Hot Springs HS,41145,3937,No,0.607921243
Corbin,Fradsham,DxNV5,Tommy Newton,Monticello High School,41695,3937,No,0.607921243
Lucien,Mcallister,ZKX92,Kiara  Sims,Lakeside High School,41160,3937,No,0.607921243
Vivian,Noble,zbMDM,Lainie Cockrum,Conway High School,40490,3940,No,0.607762396
Larson,Bailey,aajEz,Lainie Cockrum,Riverview High School,41300,3941,No,0.607664287
Gabrielle,Ruiz,dNZ9g,Tommy Newton,Atascocita High School,443583,3942,No,0.60713172
Kamiryn,Downey,2V7jN,Scarlett Barnes,Taft Union HS,53485,3943,No,0.606975317
Julia,Sedlacek,5yDnZ,Scarlett Barnes,Cadott HS,500320,3944,No,0.606947482
Kira,Rich,K2X27,Shelby LeGardye,Academies At Jonesboro High School,41270,3945,No,0.606842399
Jackson,Fluger,Y75QX,Kiara  Sims,Bryant High School,40310,3946,No,0.606291831
Caleb,Gaines,4zvYn,Kiara  Sims,Bryant High School,40310,3946,No,0.606291831
Cecil,Rowton,K2bRZ,,Mount Ida High School,41765,3948,No,0.605742335
Brock,Fortenberry,kEA5A,Tommy Newton,Dumas High School,40660,3948,No,0.605742335
Chandler,Perkins,3zdP5,,Mount Ida High School,41765,3948,No,0.605742335
Skyelar,Wright,xRYEg,Lainie Cockrum,Nemo Vista High School,40415,3951,No,0.605595827
Molly,Self,aapEK,Lainie Cockrum,Cabot High School,40320,3952,No,0.605200529
Keely,Mcclellan,9xAd2,Lainie Cockrum,Conway High School,40490,3953,No,0.604442596
Allison,Wildern,9GbEN,,Mercy HS,231005,3954,No,0.604353786
Abby,Parnel,ZXk7G,Kiara  Sims,Benton Senior High School,40170,3955,No,0.603651822
Max,Werner,aYZaz,Kiara  Sims,Harrisonville Senior HS,261345,3956,No,0.603627264
Kerle,Cebrera,Pd93M,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Victoria,Grace,a254x,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Emily,Yanez-Noyola,5zMZE,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Abigail,Trevino,AQ95E,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jaydin,Mace,QKVMR,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Ciarra,Jefferson,kEbdq,Tommy Newton,Brazoswood High School,442612,3957,No,0.603450894
Halie,Gonzales,d4jdP,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Micha,Cantrell,2VG5k,Tommy Newton,Brazoswood High School,442612,3957,No,0.603450894
Aliyah,Garcia,d4jM3,Tommy Newton,Brazoswood High School,442612,3957,No,0.603450894
Brianna,Sanchez,np5q5,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Alyssa,Webb,4zMg3,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Sarah,Hartline,a2gRA,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Samantha,Salmon,z7ZqP,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Laiken,Jones,K2aQR,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jaletzy,Velazquez,MA3z2,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Brooke,Reuter,N4GER,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Taylor,Debose,kEdMj,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Natasha,Kaplan,2V9nN,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Merari,Garza,npQyE,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jackeine,Cano,Y7979,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Diana,Marroquin,QKqb5,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Cloe,Pain,4zR9D,Tommy Newton,Santa Fe High School,440090,3957,No,0.603450894
Mikayla,Nicholson,AQ2bX,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Alysia,Myles,RqEPz,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Janeth,Loredo,4zGZX,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Rosa,Vaca,XEEkM,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jessica,Dupree,7zzVb,Tommy Newton,Santa Fe High School,440090,3957,No,0.603450894
Lacey,Byrket,MAAnM,Tommy Newton,Santa Fe High School,440090,3957,No,0.603450894
Marcela,Hernandez,Z77z7,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Amber,Hamilton,9GGy7,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Elyss,Horace,Y7dMD,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Anahi,Mendez,AQVQD,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Donna,Montoya,PdnzR,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Lillian,Hoglund,7zqDQ,Tommy Newton,Brazoswood High School,442612,3957,No,0.603450894
Analee,Garcia,QKX9G,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Alana,Blasingame,V7jMb,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Ashley,Davis,gKgNE,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Isabella,Hailey,V7jxZ,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Betzaida,Perez,7z3ga,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Haleigh,Shaver,K2V3y,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Amanda,Muniz,qp9jA,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Kenlee,Franklin,Y7RVG,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Melanie,Gonzalez,QKgDZ,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Madelynn,Herdejorgen,QKgRP,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jewel,Balinski,Y7gK7,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Aspen,Devries,pGgzE,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Lilly,Krennerich,4z7KG,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Kerigan,Smith,XE2Rv,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jasmine,Skinner,4z77z,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Julie,Oviedo,N4zKk,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Trinity,Smith,2VNyg,Tommy Newton,Santa Fe High School,440090,3957,No,0.603450894
Emily,Self,2VNXk,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Chloe,Nickell,AQEYA,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jocelyn,Castro,7zEqE,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Kalee,Rucka,4zj4Q,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Grace,Kay,9GEZ5,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jaylee,Rushing,vYaGd,Tommy Newton,Santa Fe High School,440090,3957,No,0.603450894
Cadence,Underwood,pGA5X,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jessica,Astello,Pdaj2,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Elsa,Beltron Del Rio,d4vGA,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jazmin,Serrano,Pd3gy,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Jenna,Jones,Z7ZZK,Tommy Newton,bay area christian,444088,3957,No,0.603450894
Kailey,Zurovec,Rq3Ea,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Sofia,Moncada,3zxv4,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Karma,Kiein,xRKKE,Tommy Newton,Crosby High School,441632,3957,No,0.603450894
Raghan,Allen,pvdXX,Lainie Cockrum,Conway High School,40490,4022,No,0.60295105
Madelyn,Haley,E2Pan,Lainie Cockrum,Conway High School,40490,4022,No,0.60295105
Emory,Plunkett,kaQXP,Kiara  Sims,Bryant High School,40310,4022,No,0.60295105
Ailaina,Shull,AQ5Xz,Lainie Cockrum,Clinton High School,40470,4022,No,0.60295105
Maryah,Stubbs,XE2xV,Lainie Cockrum,Conway High School,40490,4022,No,0.60295105
Jacob,Price,MA24D,Lainie Cockrum,Beebe High School,40145,4027,No,0.602926552
Isabelle,Hogue,YakpX,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Savannah,Rousey,pvMK7,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Olivia,Little,yGavR,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Abigail,Manion,VV3dY,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Evelyn,Phillips,KK93N,Kiara  Sims,Arkansas School for Math Sciences and the Arts,41148,4028,No,0.602748275
Aubrianna,McMullen,kaZ7z,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Micah,Hall,5yPKx,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Emily,Miller,qv5nd,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Anna,Harris,Y25MQ,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Emily,Davis,dNy74,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Shelby,Kiker,2YMR9,Kiara  Sims,Harmony Grove High School,40165,4028,No,0.602748275
Madyson,Bright,n7ZQk,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Sydney,Stone,xzqnp,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Presley,Chism,ZNdNb,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Jameson,Whittemore,QAPX2,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Elizabeth,Armstrong,RQPzj,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Olivia,Moore,n7Z29,Kiara  Sims,Harmony Grove High School,40165,4028,No,0.602748275
Katie,Harvey,MaPNG,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Klara,Stallmann,Y25PE,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Caitlyn,Phillips,y7anK,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Raley,Stires,PNPEN,Kiara  Sims,Conway High School,40490,4028,No,0.602748275
Kirsten,Womack,7Vjdn,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Zoe,Tharp,7Vjp9,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Lillian,Settle,GAR43,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Breanna,Kennedy,g5V9Z,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Abby,Gentry,jq93N,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Emma,Griffin,4GvzZ,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Addison,Davis,qvjp5,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Savannah,Harrison,dNRMa,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Estefania,Ramirez,Vq2RD,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Riley,Long,5yZAP,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Kyla,Wright,Ma9vn,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Ally,Alhajjaj,qvjMN,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Clara,Noel,jq9MQ,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Alyssa,Rudolph,3YE5K,Kiara  Sims,Perryville HS,42000,4028,No,0.602748275
Kate,Chumley,n7v4E,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Lauren,Beaty,pEDkj,Kiara  Sims,Harmony Grove High School,40165,4028,No,0.602748275
Gabriela,Peret,7VaPk,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Henley,Hooks,Agzqz,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Allison,Stoll,KKPGx,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Haley,McCormick,vyQna,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Karolina,Rose,y7Rg7,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Simone,Dinstbier,ka2d7,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Hope,Ingold,AgzV5,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Claudia,Davis,pEd5Z,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Paige,Atkins,dNEvX,Kiara  Sims,Sylvan Hills High School,41872,4028,No,0.602748275
Getsemani,Meza,KKP5a,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Aaliyah,Harvey,qvKAR,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Ava,Storey,RQdXk,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Chloe,Hamilton,NkNPp,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Taylor,Campbell,aa9n2,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Emmaline,Armstrong,NkNMV,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Amelia,Upton,jqdYx,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Greenlee,Simmons,MaqXp,Shelby LeGardye,Hazen High School,41055,4028,No,0.602748275
Caroline,Mead,Dkgzg,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Aslan,Ladd,qvnQa,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Keyaire,Jones,VqXGZ,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Madison,Bae,3Yn4D,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Laci,Clifton,bkPbv,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Presley,Givens,NkaKX,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Emry,Pendergrass,y79Pn,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Alyssa,Hon,jqdy5,Kiara  Sims,Magnet Cove High School,41520,4028,No,0.602748275
Blakely,Harney,ZN9xy,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Isabella,Eastham,MaZYV,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Rose,Gunther,Dkq2k,Kiara  Sims,Bigelow High School,40190,4028,No,0.602748275
Giselle,Guevara,NkjGK,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Reagan,Henderson,qvNZ7,Kiara  Sims,Perryville HS,42000,4028,No,0.602748275
Kenzie,Garrett,qvNp5,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Madigan,Marusiak,3YdzE,Kiara  Sims,Mt St Mary Academy,41440,4028,No,0.602748275
Anna,Depelsmaeker,pEk5p,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Layten,Goudy,y7VkX,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Madelyn,Franks,g5Yk4,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Laura,Thomas,dNq5z,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Zoe,Lowry,ZNxRg,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Deeya,Rohant,Y2Vkv,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Eden,Krebs,E234g,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Ashleigh,Judkins,MAGXg,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Andee,Earnest,V7nKA,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Natalie,Knox,9GqEb,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Mackenzie,Long,qpQEQ,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Angel,Halpaine,V7djZ,Kiara  Sims,Perryville HS,42000,4028,No,0.602748275
Delaney,Sample,bNQq2,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Brylee,Bradford,2V9qg,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Addison,Morgan,7z79K,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Bailey,Thomas,Y79j2,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Allison,Overton,N4kPR,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Emalee,Powell,z7gAE,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Haley,Melvin,4zXAk,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Claire,Carter,qpYGx,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Lexi,Bright,a2QRG,Kiara  Sims,Bauxite High School,40125,4028,No,0.602748275
Mackenzie,Wood,pGzVY,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Kaylen,Hughes,V7YkG,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Britney,Mahoney,5zNy3,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Bailey,Begley,5zNN4,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Kayla,Lewis,GqV5M,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Victoria,Presley,AQpa7,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Meagan,Atkinson,xRDn7,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Madison,Prichard,Gqapz,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Heather,Sambalilo,AQAAA,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Stephanie,Love,yYDqX,Kiara  Sims,Benton Senior High School,40170,4028,No,0.602748275
Anna,Morgan,bNa9E,Kiara  Sims,Bryant High School,40310,4028,No,0.602748275
Sophia,Mcfarland,Rq4A2,Kiara  Sims,Walnut Valley Christian Acad,41453,4129,No,0.602719128
Caleb,Davis,AgkKA,Kiara  Sims,Van Buren High School,42500,4130,No,0.602700114
Tatum,Campbell,DkYdP,Kiara  Sims,Ozark High School,41930,4130,Yes,0.602700114
Connor,Posey,QAkvY,Lainie Cockrum,Bald Knob High School,40095,4132,No,0.602689385
Jeremy,Lock,KKga7,Lainie Cockrum,Bradford High School,40265,4132,No,0.602689385
Noah,Anselmi,Aga5d,Lainie Cockrum,Bald Knob High School,40095,4132,No,0.602689385
